DataSeries,year_month,no_of_visitors
    Southeast Asia,1999Dec,228894
        Brunei Darussalam,1999Dec,7144
        Indonesia,1999Dec,131422
        Malaysia,1999Dec,52751
        Myanmar,1999Dec,1906
        Philippines,1999Dec,13574
        Thailand,1999Dec,19235
        Vietnam,1999Dec,2127
        Other Markets In Southeast Asia,1999Dec,na
    Greater China,1999Dec,na
        China,1999Dec,33475
        Hong Kong SAR,1999Dec,21639
        Taiwan,1999Dec,24967
        Other Markets In Greater China,1999Dec,na
    North Asia,1999Dec,na
        Japan,1999Dec,72312
        South Korea,1999Dec,24635
        Other Markets In North Asia,1999Dec,na
    South Asia,1999Dec,40854
        Bangladesh,1999Dec,3374
        India,1999Dec,26705
        Pakistan,1999Dec,2951
        Sri Lanka,1999Dec,6077
        Other Markets In South Asia,1999Dec,1747
    West Asia,1999Dec,4470
        Iran,1999Dec,669
        Israel,1999Dec,na
        Kuwait,1999Dec,181
        Saudi Arabia,1999Dec,790
        United Arab Emirates,1999Dec,1485
        Other Markets In West Asia,1999Dec,na
    Americas,1999Dec,36627
        Canada,1999Dec,6291
        USA,1999Dec,29133
        Other Markets In Americas,1999Dec,na
    Europe,1999Dec,76941
        Belgium & Luxembourg,1999Dec,1625
        Denmark,1999Dec,1534
        Finland,1999Dec,1628
        France,1999Dec,5349
        Germany,1999Dec,12329
        Italy,1999Dec,2361
        Netherlands,1999Dec,4928
        Norway,1999Dec,1580
        Rep Of Ireland,1999Dec,na
        Russian Federation,1999Dec,na
        Spain,1999Dec,929
        Sweden,1999Dec,3573
        Switzerland,1999Dec,3836
        United Kingdom,1999Dec,27688
        Other Markets In Europe,1999Dec,na
    Oceania,1999Dec,40862
        Australia,1999Dec,34663
        New Zealand,1999Dec,5178
        Other Markets In Oceania,1999Dec,1021
    Africa,1999Dec,9001
        Egypt,1999Dec,na
        Mauritius,1999Dec,na
        South Africa (Rep Of),1999Dec,na
        Other Markets In Africa,1999Dec,na
    Others,1999Dec,756
Total International Visitor Arrivals By Inbound Tourism Markets,1999Nov,594301
    Southeast Asia,1999Nov,174621
        Brunei Darussalam,1999Nov,4945
        Indonesia,1999Nov,91174
        Malaysia,1999Nov,43396
        Myanmar,1999Nov,1669
        Philippines,1999Nov,13449
        Thailand,1999Nov,16878
        Vietnam,1999Nov,2403
        Other Markets In Southeast Asia,1999Nov,na
    Greater China,1999Nov,na
        China,1999Nov,34123
        Hong Kong SAR,1999Nov,19639
        Taiwan,1999Nov,27071
        Other Markets In Greater China,1999Nov,na
    North Asia,1999Nov,na
        Japan,1999Nov,76513
        South Korea,1999Nov,29368
        Other Markets In North Asia,1999Nov,na
    South Asia,1999Nov,37550
        Bangladesh,1999Nov,2886
        India,1999Nov,25938
        Pakistan,1999Nov,2718
        Sri Lanka,1999Nov,4517
        Other Markets In South Asia,1999Nov,1491
    West Asia,1999Nov,3917
        Iran,1999Nov,476
        Israel,1999Nov,na
        Kuwait,1999Nov,228
        Saudi Arabia,1999Nov,795
        United Arab Emirates,1999Nov,1108
        Other Markets In West Asia,1999Nov,na
    Americas,1999Nov,37493
        Canada,1999Nov,6377
        USA,1999Nov,29553
        Other Markets In Americas,1999Nov,na
    Europe,1999Nov,103272
        Belgium & Luxembourg,1999Nov,2036
        Denmark,1999Nov,2027
        Finland,1999Nov,1837
        France,1999Nov,6913
        Germany,1999Nov,16364
        Italy,1999Nov,2872
        Netherlands,1999Nov,6191
        Norway,1999Nov,1960
        Rep Of Ireland,1999Nov,na
        Russian Federation,1999Nov,na
        Spain,1999Nov,1149
        Sweden,1999Nov,4713
        Switzerland,1999Nov,4582
        United Kingdom,1999Nov,42012
        Other Markets In Europe,1999Nov,na
    Oceania,1999Nov,41676
        Australia,1999Nov,34352
        New Zealand,1999Nov,6288
        Other Markets In Oceania,1999Nov,1036
    Africa,1999Nov,7575
        Egypt,1999Nov,na
        Mauritius,1999Nov,na
        South Africa (Rep Of),1999Nov,na
        Other Markets In Africa,1999Nov,na
    Others,1999Nov,886
Total International Visitor Arrivals By Inbound Tourism Markets,1999Oct,604306
    Southeast Asia,1999Oct,191640
        Brunei Darussalam,1999Oct,4049
        Indonesia,1999Oct,100043
        Malaysia,1999Oct,43272
        Myanmar,1999Oct,2009
        Philippines,1999Oct,14594
        Thailand,1999Oct,24510
        Vietnam,1999Oct,2410
        Other Markets In Southeast Asia,1999Oct,na
    Greater China,1999Oct,na
        China,1999Oct,26703
        Hong Kong SAR,1999Oct,21613
        Taiwan,1999Oct,21454
        Other Markets In Greater China,1999Oct,na
    North Asia,1999Oct,na
        Japan,1999Oct,67930
        South Korea,1999Oct,25851
        Other Markets In North Asia,1999Oct,na
    South Asia,1999Oct,40623
        Bangladesh,1999Oct,3112
        India,1999Oct,28210
        Pakistan,1999Oct,2794
        Sri Lanka,1999Oct,4877
        Other Markets In South Asia,1999Oct,1630
    West Asia,1999Oct,4267
        Iran,1999Oct,501
        Israel,1999Oct,na
        Kuwait,1999Oct,232
        Saudi Arabia,1999Oct,960
        United Arab Emirates,1999Oct,1170
        Other Markets In West Asia,1999Oct,na
    Americas,1999Oct,39488
        Canada,1999Oct,6179
        USA,1999Oct,31212
        Other Markets In Americas,1999Oct,na
    Europe,1999Oct,101296
        Belgium & Luxembourg,1999Oct,2126
        Denmark,1999Oct,2236
        Finland,1999Oct,1900
        France,1999Oct,6875
        Germany,1999Oct,16932
        Italy,1999Oct,3235
        Netherlands,1999Oct,6624
        Norway,1999Oct,1824
        Rep Of Ireland,1999Oct,na
        Russian Federation,1999Oct,na
        Spain,1999Oct,1222
        Sweden,1999Oct,3641
        Switzerland,1999Oct,4980
        United Kingdom,1999Oct,39333
        Other Markets In Europe,1999Oct,na
    Oceania,1999Oct,54039
        Australia,1999Oct,44438
        New Zealand,1999Oct,8550
        Other Markets In Oceania,1999Oct,1051
    Africa,1999Oct,8041
        Egypt,1999Oct,na
        Mauritius,1999Oct,na
        South Africa (Rep Of),1999Oct,na
        Other Markets In Africa,1999Oct,na
    Others,1999Oct,700
Total International Visitor Arrivals By Inbound Tourism Markets,1999Sep,557649
    Southeast Asia,1999Sep,170396
        Brunei Darussalam,1999Sep,4366
        Indonesia,1999Sep,86055
        Malaysia,1999Sep,43747
        Myanmar,1999Sep,1725
        Philippines,1999Sep,13296
        Thailand,1999Sep,18338
        Vietnam,1999Sep,2166
        Other Markets In Southeast Asia,1999Sep,na
    Greater China,1999Sep,na
        China,1999Sep,22004
        Hong Kong SAR,1999Sep,19206
        Taiwan,1999Sep,23942
        Other Markets In Greater China,1999Sep,na
    North Asia,1999Sep,na
        Japan,1999Sep,83864
        South Korea,1999Sep,17294
        Other Markets In North Asia,1999Sep,na
    South Asia,1999Sep,35106
        Bangladesh,1999Sep,2943
        India,1999Sep,22880
        Pakistan,1999Sep,2990
        Sri Lanka,1999Sep,4754
        Other Markets In South Asia,1999Sep,1539
    West Asia,1999Sep,4900
        Iran,1999Sep,450
        Israel,1999Sep,na
        Kuwait,1999Sep,520
        Saudi Arabia,1999Sep,1132
        United Arab Emirates,1999Sep,1417
        Other Markets In West Asia,1999Sep,na
    Americas,1999Sep,31832
        Canada,1999Sep,4445
        USA,1999Sep,25606
        Other Markets In Americas,1999Sep,na
    Europe,1999Sep,81907
        Belgium & Luxembourg,1999Sep,1641
        Denmark,1999Sep,1784
        Finland,1999Sep,1046
        France,1999Sep,4886
        Germany,1999Sep,13483
        Italy,1999Sep,3425
        Netherlands,1999Sep,5491
        Norway,1999Sep,1325
        Rep Of Ireland,1999Sep,na
        Russian Federation,1999Sep,na
        Spain,1999Sep,986
        Sweden,1999Sep,2008
        Switzerland,1999Sep,3283
        United Kingdom,1999Sep,34068
        Other Markets In Europe,1999Sep,na
    Oceania,1999Sep,58301
        Australia,1999Sep,47127
        New Zealand,1999Sep,10205
        Other Markets In Oceania,1999Sep,969
    Africa,1999Sep,7625
        Egypt,1999Sep,na
        Mauritius,1999Sep,na
        South Africa (Rep Of),1999Sep,na
        Other Markets In Africa,1999Sep,na
    Others,1999Sep,727
Total International Visitor Arrivals By Inbound Tourism Markets,1999Aug,629991
    Southeast Asia,1999Aug,171427
        Brunei Darussalam,1999Aug,5150
        Indonesia,1999Aug,91673
        Malaysia,1999Aug,38867
        Myanmar,1999Aug,1641
        Philippines,1999Aug,12806
        Thailand,1999Aug,17500
        Vietnam,1999Aug,2856
        Other Markets In Southeast Asia,1999Aug,na
    Greater China,1999Aug,na
        China,1999Aug,32085
        Hong Kong SAR,1999Aug,30325
        Taiwan,1999Aug,33295
        Other Markets In Greater China,1999Aug,na
    North Asia,1999Aug,na
        Japan,1999Aug,94967
        South Korea,1999Aug,23531
        Other Markets In North Asia,1999Aug,na
    South Asia,1999Aug,35948
        Bangladesh,1999Aug,2761
        India,1999Aug,21432
        Pakistan,1999Aug,3853
        Sri Lanka,1999Aug,6106
        Other Markets In South Asia,1999Aug,1796
    West Asia,1999Aug,13741
        Iran,1999Aug,480
        Israel,1999Aug,na
        Kuwait,1999Aug,2422
        Saudi Arabia,1999Aug,4339
        United Arab Emirates,1999Aug,4015
        Other Markets In West Asia,1999Aug,na
    Americas,1999Aug,36354
        Canada,1999Aug,5495
        USA,1999Aug,29348
        Other Markets In Americas,1999Aug,na
    Europe,1999Aug,98779
        Belgium & Luxembourg,1999Aug,1766
        Denmark,1999Aug,1920
        Finland,1999Aug,992
        France,1999Aug,8530
        Germany,1999Aug,12825
        Italy,1999Aug,8601
        Netherlands,1999Aug,6125
        Norway,1999Aug,1622
        Rep Of Ireland,1999Aug,na
        Russian Federation,1999Aug,na
        Spain,1999Aug,1928
        Sweden,1999Aug,1880
        Switzerland,1999Aug,3387
        United Kingdom,1999Aug,38247
        Other Markets In Europe,1999Aug,na
    Oceania,1999Aug,49045
        Australia,1999Aug,40588
        New Zealand,1999Aug,7625
        Other Markets In Oceania,1999Aug,832
    Africa,1999Aug,8258
        Egypt,1999Aug,na
        Mauritius,1999Aug,na
        South Africa (Rep Of),1999Aug,na
        Other Markets In Africa,1999Aug,na
    Others,1999Aug,1198
Total International Visitor Arrivals By Inbound Tourism Markets,1999Jul,629435
    Southeast Asia,1999Jul,192208
        Brunei Darussalam,1999Jul,4423
        Indonesia,1999Jul,108181
        Malaysia,1999Jul,41136
        Myanmar,1999Jul,1566
        Philippines,1999Jul,12806
        Thailand,1999Jul,20363
        Vietnam,1999Jul,2811
        Other Markets In Southeast Asia,1999Jul,na
    Greater China,1999Jul,na
        China,1999Jul,32351
        Hong Kong SAR,1999Jul,28532
        Taiwan,1999Jul,36294
        Other Markets In Greater China,1999Jul,na
    North Asia,1999Jul,na
        Japan,1999Jul,74359
        South Korea,1999Jul,21775
        Other Markets In North Asia,1999Jul,na
    South Asia,1999Jul,38971
        Bangladesh,1999Jul,3437
        India,1999Jul,23973
        Pakistan,1999Jul,4388
        Sri Lanka,1999Jul,5413
        Other Markets In South Asia,1999Jul,1760
    West Asia,1999Jul,15436
        Iran,1999Jul,362
        Israel,1999Jul,na
        Kuwait,1999Jul,1890
        Saudi Arabia,1999Jul,7018
        United Arab Emirates,1999Jul,3707
        Other Markets In West Asia,1999Jul,na
    Americas,1999Jul,37126
        Canada,1999Jul,5080
        USA,1999Jul,30227
        Other Markets In Americas,1999Jul,na
    Europe,1999Jul,85904
        Belgium & Luxembourg,1999Jul,2083
        Denmark,1999Jul,2822
        Finland,1999Jul,964
        France,1999Jul,6478
        Germany,1999Jul,12533
        Italy,1999Jul,3689
        Netherlands,1999Jul,6034
        Norway,1999Jul,2173
        Rep Of Ireland,1999Jul,na
        Russian Federation,1999Jul,na
        Spain,1999Jul,1232
        Sweden,1999Jul,2743
        Switzerland,1999Jul,4079
        United Kingdom,1999Jul,31412
        Other Markets In Europe,1999Jul,na
    Oceania,1999Jul,56553
        Australia,1999Jul,44827
        New Zealand,1999Jul,10520
        Other Markets In Oceania,1999Jul,1206
    Africa,1999Jul,8017
        Egypt,1999Jul,na
        Mauritius,1999Jul,na
        South Africa (Rep Of),1999Jul,na
        Other Markets In Africa,1999Jul,na
    Others,1999Jul,1287
Total International Visitor Arrivals By Inbound Tourism Markets,1999Jun,575055
    Southeast Asia,1999Jun,210980
        Brunei Darussalam,1999Jun,4922
        Indonesia,1999Jun,125112
        Malaysia,1999Jun,43084
        Myanmar,1999Jun,1901
        Philippines,1999Jun,14790
        Thailand,1999Jun,18133
        Vietnam,1999Jun,2218
        Other Markets In Southeast Asia,1999Jun,na
    Greater China,1999Jun,na
        China,1999Jun,24324
        Hong Kong SAR,1999Jun,19869
        Taiwan,1999Jun,28590
        Other Markets In Greater China,1999Jun,na
    North Asia,1999Jun,na
        Japan,1999Jun,65468
        South Korea,1999Jun,16872
        Other Markets In North Asia,1999Jun,na
    South Asia,1999Jun,41160
        Bangladesh,1999Jun,2759
        India,1999Jun,28785
        Pakistan,1999Jun,3152
        Sri Lanka,1999Jun,4664
        Other Markets In South Asia,1999Jun,1800
    West Asia,1999Jun,6351
        Iran,1999Jun,403
        Israel,1999Jun,na
        Kuwait,1999Jun,301
        Saudi Arabia,1999Jun,2654
        United Arab Emirates,1999Jun,1562
        Other Markets In West Asia,1999Jun,na
    Americas,1999Jun,39382
        Canada,1999Jun,4294
        USA,1999Jun,32718
        Other Markets In Americas,1999Jun,na
    Europe,1999Jun,64470
        Belgium & Luxembourg,1999Jun,1155
        Denmark,1999Jun,1563
        Finland,1999Jun,1027
        France,1999Jun,4801
        Germany,1999Jun,10499
        Italy,1999Jun,2523
        Netherlands,1999Jun,3875
        Norway,1999Jun,1350
        Rep Of Ireland,1999Jun,na
        Russian Federation,1999Jun,na
        Spain,1999Jun,1023
        Sweden,1999Jun,2511
        Switzerland,1999Jun,2703
        United Kingdom,1999Jun,24007
        Other Markets In Europe,1999Jun,na
    Oceania,1999Jun,48820
        Australia,1999Jun,38786
        New Zealand,1999Jun,9052
        Other Markets In Oceania,1999Jun,982
    Africa,1999Jun,6891
        Egypt,1999Jun,na
        Mauritius,1999Jun,na
        South Africa (Rep Of),1999Jun,na
        Other Markets In Africa,1999Jun,na
    Others,1999Jun,905
Total International Visitor Arrivals By Inbound Tourism Markets,1999May,558554
    Southeast Asia,1999May,218243
        Brunei Darussalam,1999May,4831
        Indonesia,1999May,122691
        Malaysia,1999May,48918
        Myanmar,1999May,1591
        Philippines,1999May,16309
        Thailand,1999May,21066
        Vietnam,1999May,2131
        Other Markets In Southeast Asia,1999May,na
    Greater China,1999May,na
        China,1999May,29293
        Hong Kong SAR,1999May,16900
        Taiwan,1999May,21435
        Other Markets In Greater China,1999May,na
    North Asia,1999May,na
        Japan,1999May,56751
        South Korea,1999May,18961
        Other Markets In North Asia,1999May,na
    South Asia,1999May,43892
        Bangladesh,1999May,2416
        India,1999May,32145
        Pakistan,1999May,3042
        Sri Lanka,1999May,4698
        Other Markets In South Asia,1999May,1591
    West Asia,1999May,3555
        Iran,1999May,417
        Israel,1999May,na
        Kuwait,1999May,152
        Saudi Arabia,1999May,943
        United Arab Emirates,1999May,1011
        Other Markets In West Asia,1999May,na
    Americas,1999May,33108
        Canada,1999May,4945
        USA,1999May,26598
        Other Markets In Americas,1999May,na
    Europe,1999May,66616
        Belgium & Luxembourg,1999May,1335
        Denmark,1999May,1572
        Finland,1999May,873
        France,1999May,4923
        Germany,1999May,12274
        Italy,1999May,2292
        Netherlands,1999May,4317
        Norway,1999May,1082
        Rep Of Ireland,1999May,na
        Russian Federation,1999May,na
        Spain,1999May,844
        Sweden,1999May,1909
        Switzerland,1999May,3307
        United Kingdom,1999May,24425
        Other Markets In Europe,1999May,na
    Oceania,1999May,42603
        Australia,1999May,34752
        New Zealand,1999May,6862
        Other Markets In Oceania,1999May,989
    Africa,1999May,5892
        Egypt,1999May,na
        Mauritius,1999May,na
        South Africa (Rep Of),1999May,na
        Other Markets In Africa,1999May,na
    Others,1999May,838
Total International Visitor Arrivals By Inbound Tourism Markets,1999Apr,524455
    Southeast Asia,1999Apr,169143
        Brunei Darussalam,1999Apr,5092
        Indonesia,1999Apr,78634
        Malaysia,1999Apr,40327
        Myanmar,1999Apr,1715
        Philippines,1999Apr,15045
        Thailand,1999Apr,25438
        Vietnam,1999Apr,1994
        Other Markets In Southeast Asia,1999Apr,na
    Greater China,1999Apr,na
        China,1999Apr,29115
        Hong Kong SAR,1999Apr,21430
        Taiwan,1999Apr,24304
        Other Markets In Greater China,1999Apr,na
    North Asia,1999Apr,na
        Japan,1999Apr,52417
        South Korea,1999Apr,15332
        Other Markets In North Asia,1999Apr,na
    South Asia,1999Apr,36213
        Bangladesh,1999Apr,2564
        India,1999Apr,22968
        Pakistan,1999Apr,2908
        Sri Lanka,1999Apr,6254
        Other Markets In South Asia,1999Apr,1519
    West Asia,1999Apr,3663
        Iran,1999Apr,417
        Israel,1999Apr,na
        Kuwait,1999Apr,213
        Saudi Arabia,1999Apr,849
        United Arab Emirates,1999Apr,1049
        Other Markets In West Asia,1999Apr,na
    Americas,1999Apr,33082
        Canada,1999Apr,5801
        USA,1999Apr,25897
        Other Markets In Americas,1999Apr,na
    Europe,1999Apr,87398
        Belgium & Luxembourg,1999Apr,1690
        Denmark,1999Apr,2124
        Finland,1999Apr,1476
        France,1999Apr,6645
        Germany,1999Apr,15209
        Italy,1999Apr,2546
        Netherlands,1999Apr,4591
        Norway,1999Apr,1772
        Rep Of Ireland,1999Apr,na
        Russian Federation,1999Apr,na
        Spain,1999Apr,1476
        Sweden,1999Apr,2835
        Switzerland,1999Apr,4084
        United Kingdom,1999Apr,33589
        Other Markets In Europe,1999Apr,na
    Oceania,1999Apr,42487
        Australia,1999Apr,35194
        New Zealand,1999Apr,6400
        Other Markets In Oceania,1999Apr,893
    Africa,1999Apr,7963
        Egypt,1999Apr,na
        Mauritius,1999Apr,na
        South Africa (Rep Of),1999Apr,na
        Other Markets In Africa,1999Apr,na
    Others,1999Apr,1254
Total International Visitor Arrivals By Inbound Tourism Markets,1999Mar,580426
    Southeast Asia,1999Mar,168475
        Brunei Darussalam,1999Mar,4189
        Indonesia,1999Mar,87192
        Malaysia,1999Mar,40066
        Myanmar,1999Mar,1656
        Philippines,1999Mar,14478
        Thailand,1999Mar,18413
        Vietnam,1999Mar,1839
        Other Markets In Southeast Asia,1999Mar,na
    Greater China,1999Mar,na
        China,1999Mar,27406
        Hong Kong SAR,1999Mar,19209
        Taiwan,1999Mar,21419
        Other Markets In Greater China,1999Mar,na
    North Asia,1999Mar,na
        Japan,1999Mar,84930
        South Korea,1999Mar,16436
        Other Markets In North Asia,1999Mar,na
    South Asia,1999Mar,31935
        Bangladesh,1999Mar,2439
        India,1999Mar,19968
        Pakistan,1999Mar,2950
        Sri Lanka,1999Mar,4827
        Other Markets In South Asia,1999Mar,1751
    West Asia,1999Mar,6009
        Iran,1999Mar,1198
        Israel,1999Mar,na
        Kuwait,1999Mar,418
        Saudi Arabia,1999Mar,1634
        United Arab Emirates,1999Mar,1469
        Other Markets In West Asia,1999Mar,na
    Americas,1999Mar,45739
        Canada,1999Mar,9431
        USA,1999Mar,34533
        Other Markets In Americas,1999Mar,na
    Europe,1999Mar,103753
        Belgium & Luxembourg,1999Mar,1648
        Denmark,1999Mar,2634
        Finland,1999Mar,1703
        France,1999Mar,6935
        Germany,1999Mar,18143
        Italy,1999Mar,3732
        Netherlands,1999Mar,5596
        Norway,1999Mar,2374
        Rep Of Ireland,1999Mar,na
        Russian Federation,1999Mar,na
        Spain,1999Mar,1311
        Sweden,1999Mar,3966
        Switzerland,1999Mar,4807
        United Kingdom,1999Mar,40521
        Other Markets In Europe,1999Mar,na
    Oceania,1999Mar,45671
        Australia,1999Mar,39232
        New Zealand,1999Mar,5587
        Other Markets In Oceania,1999Mar,852
    Africa,1999Mar,7785
        Egypt,1999Mar,na
        Mauritius,1999Mar,na
        South Africa (Rep Of),1999Mar,na
        Other Markets In Africa,1999Mar,na
    Others,1999Mar,1065
Total International Visitor Arrivals By Inbound Tourism Markets,1999Feb,517554
    Southeast Asia,1999Feb,142582
        Brunei Darussalam,1999Feb,3560
        Indonesia,1999Feb,73732
        Malaysia,1999Feb,36404
        Myanmar,1999Feb,1387
        Philippines,1999Feb,10169
        Thailand,1999Feb,14539
        Vietnam,1999Feb,2168
        Other Markets In Southeast Asia,1999Feb,na
    Greater China,1999Feb,na
        China,1999Feb,48084
        Hong Kong SAR,1999Feb,27059
        Taiwan,1999Feb,28430
        Other Markets In Greater China,1999Feb,na
    North Asia,1999Feb,na
        Japan,1999Feb,61360
        South Korea,1999Feb,14950
        Other Markets In North Asia,1999Feb,na
    South Asia,1999Feb,26909
        Bangladesh,1999Feb,2080
        India,1999Feb,17054
        Pakistan,1999Feb,2425
        Sri Lanka,1999Feb,3916
        Other Markets In South Asia,1999Feb,1434
    West Asia,1999Feb,3269
        Iran,1999Feb,410
        Israel,1999Feb,na
        Kuwait,1999Feb,168
        Saudi Arabia,1999Feb,640
        United Arab Emirates,1999Feb,881
        Other Markets In West Asia,1999Feb,na
    Americas,1999Feb,34895
        Canada,1999Feb,7021
        USA,1999Feb,26527
        Other Markets In Americas,1999Feb,na
    Europe,1999Feb,88938
        Belgium & Luxembourg,1999Feb,1414
        Denmark,1999Feb,2572
        Finland,1999Feb,1583
        France,1999Feb,6198
        Germany,1999Feb,13792
        Italy,1999Feb,3285
        Netherlands,1999Feb,5273
        Norway,1999Feb,2033
        Rep Of Ireland,1999Feb,na
        Russian Federation,1999Feb,na
        Spain,1999Feb,878
        Sweden,1999Feb,3690
        Switzerland,1999Feb,4284
        United Kingdom,1999Feb,35283
        Other Markets In Europe,1999Feb,na
    Oceania,1999Feb,33643
        Australia,1999Feb,28788
        New Zealand,1999Feb,4029
        Other Markets In Oceania,1999Feb,826
    Africa,1999Feb,5741
        Egypt,1999Feb,na
        Mauritius,1999Feb,na
        South Africa (Rep Of),1999Feb,na
        Other Markets In Africa,1999Feb,na
    Others,1999Feb,1007
Total International Visitor Arrivals By Inbound Tourism Markets,1999Jan,570444
    Southeast Asia,1999Jan,185362
        Brunei Darussalam,1999Jan,4629
        Indonesia,1999Jan,114115
        Malaysia,1999Jan,37231
        Myanmar,1999Jan,1380
        Philippines,1999Jan,10616
        Thailand,1999Jan,15062
        Vietnam,1999Jan,1658
        Other Markets In Southeast Asia,1999Jan,na
    Greater China,1999Jan,na
        China,1999Jan,33918
        Hong Kong SAR,1999Jan,14612
        Taiwan,1999Jan,26301
        Other Markets In Greater China,1999Jan,na
    North Asia,1999Jan,na
        Japan,1999Jan,69791
        South Korea,1999Jan,17221
        Other Markets In North Asia,1999Jan,na
    South Asia,1999Jan,28615
        Bangladesh,1999Jan,2507
        India,1999Jan,18325
        Pakistan,1999Jan,2093
        Sri Lanka,1999Jan,3998
        Other Markets In South Asia,1999Jan,1692
    West Asia,1999Jan,4870
        Iran,1999Jan,383
        Israel,1999Jan,na
        Kuwait,1999Jan,412
        Saudi Arabia,1999Jan,1355
        United Arab Emirates,1999Jan,1370
        Other Markets In West Asia,1999Jan,na
    Americas,1999Jan,39126
        Canada,1999Jan,7170
        USA,1999Jan,30107
        Other Markets In Americas,1999Jan,na
    Europe,1999Jan,90719
        Belgium & Luxembourg,1999Jan,1438
        Denmark,1999Jan,2441
        Finland,1999Jan,1741
        France,1999Jan,5516
        Germany,1999Jan,13473
        Italy,1999Jan,5253
        Netherlands,1999Jan,5620
        Norway,1999Jan,1984
        Rep Of Ireland,1999Jan,na
        Russian Federation,1999Jan,na
        Spain,1999Jan,931
        Sweden,1999Jan,4617
        Switzerland,1999Jan,4513
        United Kingdom,1999Jan,30889
        Other Markets In Europe,1999Jan,na
    Oceania,1999Jan,50798
        Australia,1999Jan,43320
        New Zealand,1999Jan,6361
        Other Markets In Oceania,1999Jan,1117
    Africa,1999Jan,7368
        Egypt,1999Jan,na
        Mauritius,1999Jan,na
        South Africa (Rep Of),1999Jan,na
        Other Markets In Africa,1999Jan,na
    Others,1999Jan,1332
Total International Visitor Arrivals By Inbound Tourism Markets,1998Dec,572910
    Southeast Asia,1998Dec,192539
        Brunei Darussalam,1998Dec,8954
        Indonesia,1998Dec,100071
        Malaysia,1998Dec,48264
        Myanmar,1998Dec,1856
        Philippines,1998Dec,11681
        Thailand,1998Dec,18993
        Vietnam,1998Dec,2051
        Other Markets In Southeast Asia,1998Dec,na
    Greater China,1998Dec,na
        China,1998Dec,30831
        Hong Kong SAR,1998Dec,21692
        Taiwan,1998Dec,27721
        Other Markets In Greater China,1998Dec,na
    North Asia,1998Dec,na
        Japan,1998Dec,75193
        South Korea,1998Dec,13035
        Other Markets In North Asia,1998Dec,na
    South Asia,1998Dec,34676
        Bangladesh,1998Dec,2701
        India,1998Dec,21321
        Pakistan,1998Dec,2794
        Sri Lanka,1998Dec,6192
        Other Markets In South Asia,1998Dec,1668
    West Asia,1998Dec,4339
        Iran,1998Dec,470
        Israel,1998Dec,na
        Kuwait,1998Dec,202
        Saudi Arabia,1998Dec,933
        United Arab Emirates,1998Dec,1447
        Other Markets In West Asia,1998Dec,na
    Americas,1998Dec,37756
        Canada,1998Dec,6877
        USA,1998Dec,29493
        Other Markets In Americas,1998Dec,na
    Europe,1998Dec,82620
        Belgium & Luxembourg,1998Dec,1558
        Denmark,1998Dec,2053
        Finland,1998Dec,1555
        France,1998Dec,5878
        Germany,1998Dec,11752
        Italy,1998Dec,3023
        Netherlands,1998Dec,5405
        Norway,1998Dec,1734
        Rep Of Ireland,1998Dec,na
        Russian Federation,1998Dec,na
        Spain,1998Dec,914
        Sweden,1998Dec,4147
        Switzerland,1998Dec,4246
        United Kingdom,1998Dec,30812
        Other Markets In Europe,1998Dec,na
    Oceania,1998Dec,42137
        Australia,1998Dec,35602
        New Zealand,1998Dec,5467
        Other Markets In Oceania,1998Dec,1068
    Africa,1998Dec,8943
        Egypt,1998Dec,na
        Mauritius,1998Dec,na
        South Africa (Rep Of),1998Dec,na
        Other Markets In Africa,1998Dec,na
    Others,1998Dec,875
Total International Visitor Arrivals By Inbound Tourism Markets,1998Nov,506970
    Southeast Asia,1998Nov,147160
        Brunei Darussalam,1998Nov,5165
        Indonesia,1998Nov,73958
        Malaysia,1998Nov,38597
        Myanmar,1998Nov,1265
        Philippines,1998Nov,11423
        Thailand,1998Nov,14128
        Vietnam,1998Nov,2048
        Other Markets In Southeast Asia,1998Nov,na
    Greater China,1998Nov,na
        China,1998Nov,27121
        Hong Kong SAR,1998Nov,17287
        Taiwan,1998Nov,26326
        Other Markets In Greater China,1998Nov,na
    North Asia,1998Nov,na
        Japan,1998Nov,64603
        South Korea,1998Nov,13125
        Other Markets In North Asia,1998Nov,na
    South Asia,1998Nov,29402
        Bangladesh,1998Nov,2325
        India,1998Nov,18623
        Pakistan,1998Nov,2554
        Sri Lanka,1998Nov,4411
        Other Markets In South Asia,1998Nov,1489
    West Asia,1998Nov,3696
        Iran,1998Nov,396
        Israel,1998Nov,na
        Kuwait,1998Nov,218
        Saudi Arabia,1998Nov,982
        United Arab Emirates,1998Nov,972
        Other Markets In West Asia,1998Nov,na
    Americas,1998Nov,39173
        Canada,1998Nov,7252
        USA,1998Nov,30509
        Other Markets In Americas,1998Nov,na
    Europe,1998Nov,89770
        Belgium & Luxembourg,1998Nov,1815
        Denmark,1998Nov,2265
        Finland,1998Nov,1542
        France,1998Nov,5653
        Germany,1998Nov,15685
        Italy,1998Nov,2948
        Netherlands,1998Nov,5453
        Norway,1998Nov,1823
        Rep Of Ireland,1998Nov,na
        Russian Federation,1998Nov,na
        Spain,1998Nov,1174
        Sweden,1998Nov,3789
        Switzerland,1998Nov,5207
        United Kingdom,1998Nov,32575
        Other Markets In Europe,1998Nov,na
    Oceania,1998Nov,40769
        Australia,1998Nov,34034
        New Zealand,1998Nov,5817
        Other Markets In Oceania,1998Nov,918
