DataSeries,year_month,no_of_visitors
        Rep Of Ireland,2024Oct,2137
        Russian Federation,2024Oct,3905
        Spain,2024Oct,5487
        Sweden,2024Oct,2402
        Switzerland,2024Oct,8051
        United Kingdom,2024Oct,43943
        Other Markets In Europe,2024Oct,21359
    Oceania,2024Oct,118509
        Australia,2024Oct,100935
        New Zealand,2024Oct,14002
        Other Markets In Oceania,2024Oct,3572
    Africa,2024Oct,5324
        Egypt,2024Oct,306
        Mauritius,2024Oct,313
        South Africa (Rep Of),2024Oct,1970
        Other Markets In Africa,2024Oct,2735
    Others,2024Oct,34
Total International Visitor Arrivals By Inbound Tourism Markets,2024Sep,1270675
    Southeast Asia,2024Sep,417348
        Brunei Darussalam,2024Sep,3968
        Indonesia,2024Sep,173611
        Malaysia,2024Sep,112150
        Myanmar,2024Sep,9580
        Philippines,2024Sep,55976
        Thailand,2024Sep,27707
        Vietnam,2024Sep,27636
        Other Markets In Southeast Asia,2024Sep,6720
    Greater China,2024Sep,275553
        China,2024Sep,217205
        Hong Kong SAR,2024Sep,26627
        Taiwan,2024Sep,30408
        Other Markets In Greater China,2024Sep,1313
    North Asia,2024Sep,102800
        Japan,2024Sep,57825
        South Korea,2024Sep,44886
        Other Markets In North Asia,2024Sep,89
    South Asia,2024Sep,108913
        Bangladesh,2024Sep,11473
        India,2024Sep,87766
        Pakistan,2024Sep,1459
        Sri Lanka,2024Sep,5221
        Other Markets In South Asia,2024Sep,2994
    West Asia,2024Sep,15370
        Iran,2024Sep,853
        Israel,2024Sep,1779
        Kuwait,2024Sep,598
        Saudi Arabia,2024Sep,1929
        United Arab Emirates,2024Sep,7831
        Other Markets In West Asia,2024Sep,2380
    Americas,2024Sep,64689
        Canada,2024Sep,9230
        USA,2024Sep,47493
        Other Markets In Americas,2024Sep,7966
    Europe,2024Sep,149577
        Belgium & Luxembourg,2024Sep,3334
        Denmark,2024Sep,2219
        Finland,2024Sep,1334
        France,2024Sep,14774
        Germany,2024Sep,23795
        Italy,2024Sep,8001
        Netherlands,2024Sep,7562
        Norway,2024Sep,1597
        Rep Of Ireland,2024Sep,2041
        Russian Federation,2024Sep,3475
        Spain,2024Sep,7460
        Sweden,2024Sep,1574
        Switzerland,2024Sep,6888
        United Kingdom,2024Sep,43032
        Other Markets In Europe,2024Sep,22491
    Oceania,2024Sep,130165
        Australia,2024Sep,110930
        New Zealand,2024Sep,15792
        Other Markets In Oceania,2024Sep,3443
    Africa,2024Sep,6192
        Egypt,2024Sep,267
        Mauritius,2024Sep,320
        South Africa (Rep Of),2024Sep,2645
        Other Markets In Africa,2024Sep,2960
    Others,2024Sep,68
Total International Visitor Arrivals By Inbound Tourism Markets,2024Aug,1539828
    Southeast Asia,2024Aug,398577
        Brunei Darussalam,2024Aug,5679
        Indonesia,2024Aug,163910
        Malaysia,2024Aug,79895
        Myanmar,2024Aug,9852
        Philippines,2024Aug,60174
        Thailand,2024Aug,27966
        Vietnam,2024Aug,43400
        Other Markets In Southeast Asia,2024Aug,7701
    Greater China,2024Aug,484556
        China,2024Aug,403138
        Hong Kong SAR,2024Aug,35682
        Taiwan,2024Aug,42282
        Other Markets In Greater China,2024Aug,3454
    North Asia,2024Aug,142900
        Japan,2024Aug,81803
        South Korea,2024Aug,60986
        Other Markets In North Asia,2024Aug,111
    South Asia,2024Aug,113390
        Bangladesh,2024Aug,11027
        India,2024Aug,91805
        Pakistan,2024Aug,1717
        Sri Lanka,2024Aug,5767
        Other Markets In South Asia,2024Aug,3074
    West Asia,2024Aug,21344
        Iran,2024Aug,521
        Israel,2024Aug,1299
        Kuwait,2024Aug,1957
        Saudi Arabia,2024Aug,3065
        United Arab Emirates,2024Aug,10764
        Other Markets In West Asia,2024Aug,3738
    Americas,2024Aug,67753
        Canada,2024Aug,10796
        USA,2024Aug,51082
        Other Markets In Americas,2024Aug,5875
    Europe,2024Aug,204247
        Belgium & Luxembourg,2024Aug,4458
        Denmark,2024Aug,1988
        Finland,2024Aug,832
        France,2024Aug,26916
        Germany,2024Aug,27501
        Italy,2024Aug,29522
        Netherlands,2024Aug,12682
        Norway,2024Aug,1467
        Rep Of Ireland,2024Aug,2028
        Russian Federation,2024Aug,3498
        Spain,2024Aug,13721
        Sweden,2024Aug,1442
        Switzerland,2024Aug,7359
        United Kingdom,2024Aug,47305
        Other Markets In Europe,2024Aug,23528
    Oceania,2024Aug,100001
        Australia,2024Aug,82959
        New Zealand,2024Aug,14070
        Other Markets In Oceania,2024Aug,2972
    Africa,2024Aug,7027
        Egypt,2024Aug,244
        Mauritius,2024Aug,504
        South Africa (Rep Of),2024Aug,1902
        Other Markets In Africa,2024Aug,4377
    Others,2024Aug,33
Total International Visitor Arrivals By Inbound Tourism Markets,2024Jul,1602596
    Southeast Asia,2024Jul,475242
        Brunei Darussalam,2024Jul,4401
        Indonesia,2024Jul,209823
        Malaysia,2024Jul,83067
        Myanmar,2024Jul,12474
        Philippines,2024Jul,72589
        Thailand,2024Jul,32834
        Vietnam,2024Jul,50619
        Other Markets In Southeast Asia,2024Jul,9435
    Greater China,2024Jul,500094
        China,2024Jul,412950
        Hong Kong SAR,2024Jul,33769
        Taiwan,2024Jul,49930
        Other Markets In Greater China,2024Jul,3445
    North Asia,2024Jul,108672
        Japan,2024Jul,51162
        South Korea,2024Jul,57398
        Other Markets In North Asia,2024Jul,112
    South Asia,2024Jul,112631
        Bangladesh,2024Jul,12236
        India,2024Jul,89701
        Pakistan,2024Jul,2818
        Sri Lanka,2024Jul,4921
        Other Markets In South Asia,2024Jul,2955
    West Asia,2024Jul,23608
        Iran,2024Jul,404
        Israel,2024Jul,1321
        Kuwait,2024Jul,1242
        Saudi Arabia,2024Jul,4544
        United Arab Emirates,2024Jul,11518
        Other Markets In West Asia,2024Jul,4579
    Americas,2024Jul,82686
        Canada,2024Jul,10894
        USA,2024Jul,65204
        Other Markets In Americas,2024Jul,6588
    Europe,2024Jul,166397
        Belgium & Luxembourg,2024Jul,5327
        Denmark,2024Jul,3642
        Finland,2024Jul,1271
        France,2024Jul,21064
        Germany,2024Jul,21118
        Italy,2024Jul,7825
        Netherlands,2024Jul,12275
        Norway,2024Jul,3836
        Rep Of Ireland,2024Jul,2458
        Russian Federation,2024Jul,3774
        Spain,2024Jul,7998
        Sweden,2024Jul,2349
        Switzerland,2024Jul,10243
        United Kingdom,2024Jul,42232
        Other Markets In Europe,2024Jul,20985
    Oceania,2024Jul,126960
        Australia,2024Jul,105660
        New Zealand,2024Jul,18182
        Other Markets In Oceania,2024Jul,3118
    Africa,2024Jul,6115
        Egypt,2024Jul,202
        Mauritius,2024Jul,426
        South Africa (Rep Of),2024Jul,2177
        Other Markets In Africa,2024Jul,3310
    Others,2024Jul,191
Total International Visitor Arrivals By Inbound Tourism Markets,2024Jun,1250293
    Southeast Asia,2024Jun,450962
        Brunei Darussalam,2024Jun,3711
        Indonesia,2024Jun,200085
        Malaysia,2024Jun,83558
        Myanmar,2024Jun,12154
        Philippines,2024Jun,76120
        Thailand,2024Jun,25459
        Vietnam,2024Jun,42327
        Other Markets In Southeast Asia,2024Jun,7548
    Greater China,2024Jun,277314
        China,2024Jun,217656
        Hong Kong SAR,2024Jun,23831
        Taiwan,2024Jun,34154
        Other Markets In Greater China,2024Jun,1673
    North Asia,2024Jun,73480
        Japan,2024Jun,33936
        South Korea,2024Jun,39496
        Other Markets In North Asia,2024Jun,48
    South Asia,2024Jun,143130
        Bangladesh,2024Jun,12594
        India,2024Jun,120380
        Pakistan,2024Jun,2020
        Sri Lanka,2024Jun,5036
        Other Markets In South Asia,2024Jun,3100
    West Asia,2024Jun,16007
        Iran,2024Jun,437
        Israel,2024Jun,1138
        Kuwait,2024Jun,1007
        Saudi Arabia,2024Jun,3589
        United Arab Emirates,2024Jun,6516
        Other Markets In West Asia,2024Jun,3320
    Americas,2024Jun,75896
        Canada,2024Jun,7987
        USA,2024Jun,61459
        Other Markets In Americas,2024Jun,6450
    Europe,2024Jun,101854
        Belgium & Luxembourg,2024Jun,2252
        Denmark,2024Jun,1462
        Finland,2024Jun,1610
        France,2024Jun,11040
        Germany,2024Jun,14014
        Italy,2024Jun,4907
        Netherlands,2024Jun,5114
        Norway,2024Jun,2038
        Rep Of Ireland,2024Jun,2108
        Russian Federation,2024Jun,2907
        Spain,2024Jun,4259
        Sweden,2024Jun,1984
        Switzerland,2024Jun,4513
        United Kingdom,2024Jun,28752
        Other Markets In Europe,2024Jun,14894
    Oceania,2024Jun,105433
        Australia,2024Jun,88043
        New Zealand,2024Jun,14713
        Other Markets In Oceania,2024Jun,2677
    Africa,2024Jun,5411
        Egypt,2024Jun,241
        Mauritius,2024Jun,283
        South Africa (Rep Of),2024Jun,2554
        Other Markets In Africa,2024Jun,2333
    Others,2024Jun,806
Total International Visitor Arrivals By Inbound Tourism Markets,2024May,1277160
    Southeast Asia,2024May,431069
        Brunei Darussalam,2024May,3857
        Indonesia,2024May,189182
        Malaysia,2024May,95621
        Myanmar,2024May,13356
        Philippines,2024May,58311
        Thailand,2024May,32818
