age_group,year_month,no_of_visitors
65 & Over,2021-10-01,1113
Under 15 Years,2021-09-01,1178
15-19 Years,2021-09-01,1111
20-24 Years,2021-09-01,1547
25-34 Years,2021-09-01,5273
35-44 Years,2021-09-01,4673
45-54 Years,2021-09-01,2692
55-64 Years,2021-09-01,1765
65 & Over,2021-09-01,770
Under 15 Years,2021-08-01,1320
15-19 Years,2021-08-01,1277
20-24 Years,2021-08-01,2444
25-34 Years,2021-08-01,3950
35-44 Years,2021-08-01,3143
45-54 Years,2021-08-01,1923
55-64 Years,2021-08-01,1346
65 & Over,2021-08-01,484
Under 15 Years,2021-07-01,1239
15-19 Years,2021-07-01,956
20-24 Years,2021-07-01,4360
25-34 Years,2021-07-01,4077
35-44 Years,2021-07-01,3411
45-54 Years,2021-07-01,2351
55-64 Years,2021-07-01,1609
65 & Over,2021-07-01,514
Under 15 Years,2021-06-01,457
15-19 Years,2021-06-01,343
20-24 Years,2021-06-01,920
25-34 Years,2021-06-01,2722
35-44 Years,2021-06-01,2311
45-54 Years,2021-06-01,1581
55-64 Years,2021-06-01,1343
65 & Over,2021-06-01,352
Under 15 Years,2021-05-01,459
15-19 Years,2021-05-01,342
20-24 Years,2021-05-01,1585
25-34 Years,2021-05-01,4473
35-44 Years,2021-05-01,3448
45-54 Years,2021-05-01,1965
55-64 Years,2021-05-01,1450
65 & Over,2021-05-01,468
Under 15 Years,2021-04-01,1176
15-19 Years,2021-04-01,672
20-24 Years,2021-04-01,2748
25-34 Years,2021-04-01,9229
35-44 Years,2021-04-01,6448
45-54 Years,2021-04-01,3007
55-64 Years,2021-04-01,1798
65 & Over,2021-04-01,659
Under 15 Years,2021-03-01,1179
15-19 Years,2021-03-01,909
20-24 Years,2021-03-01,2840
25-34 Years,2021-03-01,9570
35-44 Years,2021-03-01,7021
45-54 Years,2021-03-01,3366
55-64 Years,2021-03-01,1733
65 & Over,2021-03-01,584
Under 15 Years,2021-02-01,988
15-19 Years,2021-02-01,423
20-24 Years,2021-02-01,1885
25-34 Years,2021-02-01,6698
35-44 Years,2021-02-01,4617
45-54 Years,2021-02-01,1940
55-64 Years,2021-02-01,1156
65 & Over,2021-02-01,434
Under 15 Years,2021-01-01,1410
15-19 Years,2021-01-01,586
20-24 Years,2021-01-01,3055
25-34 Years,2021-01-01,8172
35-44 Years,2021-01-01,5396
45-54 Years,2021-01-01,2545
55-64 Years,2021-01-01,1536
65 & Over,2021-01-01,666
Under 15 Years,2020-12-01,2089
15-19 Years,2020-12-01,893
20-24 Years,2020-12-01,3349
25-34 Years,2020-12-01,7739
35-44 Years,2020-12-01,5361
45-54 Years,2020-12-01,2500
55-64 Years,2020-12-01,1572
65 & Over,2020-12-01,667
Under 15 Years,2020-11-01,1009
15-19 Years,2020-11-01,411
20-24 Years,2020-11-01,1161
25-34 Years,2020-11-01,4656
35-44 Years,2020-11-01,3869
