Region/Country,year_month,no_of_visitors
France,2024-10-01,14969
Germany,2024-10-01,26180
Italy,2024-10-01,5864
Netherlands,2024-10-01,7381
Norway,2024-10-01,1710
Rep Of Ireland,2024-10-01,2137
Russian Federation,2024-10-01,3905
Spain,2024-10-01,5487
Sweden,2024-10-01,2402
Switzerland,2024-10-01,8051
United Kingdom,2024-10-01,43943
Other Markets In Europe,2024-10-01,21359
Oceania,2024-10-01,118509
Australia,2024-10-01,100935
New Zealand,2024-10-01,14002
Other Markets In Oceania,2024-10-01,3572
Africa,2024-10-01,5324
Egypt,2024-10-01,306
Mauritius,2024-10-01,313
South Africa (Rep Of),2024-10-01,1970
Other Markets In Africa,2024-10-01,2735
Others,2024-10-01,34
Total International Visitor Arrivals By Inbound Tourism Markets,2024-09-01,1270675
Southeast Asia,2024-09-01,417348
Brunei Darussalam,2024-09-01,3968
Indonesia,2024-09-01,173611
Malaysia,2024-09-01,112150
Myanmar,2024-09-01,9580
Philippines,2024-09-01,55976
Thailand,2024-09-01,27707
Vietnam,2024-09-01,27636
Other Markets In Southeast Asia,2024-09-01,6720
Greater China,2024-09-01,275553
China,2024-09-01,217205
Hong Kong SAR,2024-09-01,26627
Taiwan,2024-09-01,30408
Other Markets In Greater China,2024-09-01,1313
North Asia,2024-09-01,102800
Japan,2024-09-01,57825
South Korea,2024-09-01,44886
Other Markets In North Asia,2024-09-01,89
South Asia,2024-09-01,108913
Bangladesh,2024-09-01,11473
India,2024-09-01,87766
Pakistan,2024-09-01,1459
Sri Lanka,2024-09-01,5221
Other Markets In South Asia,2024-09-01,2994
West Asia,2024-09-01,15370
Iran,2024-09-01,853
Israel,2024-09-01,1779
Kuwait,2024-09-01,598
Saudi Arabia,2024-09-01,1929
United Arab Emirates,2024-09-01,7831
Other Markets In West Asia,2024-09-01,2380
Americas,2024-09-01,64689
Canada,2024-09-01,9230
USA,2024-09-01,47493
Other Markets In Americas,2024-09-01,7966
Europe,2024-09-01,149577
Belgium & Luxembourg,2024-09-01,3334
Denmark,2024-09-01,2219
Finland,2024-09-01,1334
France,2024-09-01,14774
Germany,2024-09-01,23795
Italy,2024-09-01,8001
Netherlands,2024-09-01,7562
Norway,2024-09-01,1597
Rep Of Ireland,2024-09-01,2041
Russian Federation,2024-09-01,3475
Spain,2024-09-01,7460
Sweden,2024-09-01,1574
Switzerland,2024-09-01,6888
United Kingdom,2024-09-01,43032
Other Markets In Europe,2024-09-01,22491
Oceania,2024-09-01,130165
Australia,2024-09-01,110930
New Zealand,2024-09-01,15792
Other Markets In Oceania,2024-09-01,3443
Africa,2024-09-01,6192
Egypt,2024-09-01,267
Mauritius,2024-09-01,320
South Africa (Rep Of),2024-09-01,2645
Other Markets In Africa,2024-09-01,2960
Others,2024-09-01,68
Total International Visitor Arrivals By Inbound Tourism Markets,2024-08-01,1539828
Southeast Asia,2024-08-01,398577
Brunei Darussalam,2024-08-01,5679
Indonesia,2024-08-01,163910
Malaysia,2024-08-01,79895
Myanmar,2024-08-01,9852
Philippines,2024-08-01,60174
Thailand,2024-08-01,27966
Vietnam,2024-08-01,43400
Other Markets In Southeast Asia,2024-08-01,7701
Greater China,2024-08-01,484556
China,2024-08-01,403138
Hong Kong SAR,2024-08-01,35682
Taiwan,2024-08-01,42282
Other Markets In Greater China,2024-08-01,3454
North Asia,2024-08-01,142900
Japan,2024-08-01,81803
South Korea,2024-08-01,60986
Other Markets In North Asia,2024-08-01,111
South Asia,2024-08-01,113390
Bangladesh,2024-08-01,11027
India,2024-08-01,91805
Pakistan,2024-08-01,1717
Sri Lanka,2024-08-01,5767
Other Markets In South Asia,2024-08-01,3074
West Asia,2024-08-01,21344
Iran,2024-08-01,521
Israel,2024-08-01,1299
Kuwait,2024-08-01,1957
Saudi Arabia,2024-08-01,3065
United Arab Emirates,2024-08-01,10764
Other Markets In West Asia,2024-08-01,3738
Americas,2024-08-01,67753
Canada,2024-08-01,10796
USA,2024-08-01,51082
Other Markets In Americas,2024-08-01,5875
Europe,2024-08-01,204247
Belgium & Luxembourg,2024-08-01,4458
Denmark,2024-08-01,1988
Finland,2024-08-01,832
France,2024-08-01,26916
Germany,2024-08-01,27501
Italy,2024-08-01,29522
Netherlands,2024-08-01,12682
Norway,2024-08-01,1467
Rep Of Ireland,2024-08-01,2028
Russian Federation,2024-08-01,3498
Spain,2024-08-01,13721
Sweden,2024-08-01,1442
Switzerland,2024-08-01,7359
United Kingdom,2024-08-01,47305
Other Markets In Europe,2024-08-01,23528
Oceania,2024-08-01,100001
Australia,2024-08-01,82959
New Zealand,2024-08-01,14070
Other Markets In Oceania,2024-08-01,2972
Africa,2024-08-01,7027
Egypt,2024-08-01,244
Mauritius,2024-08-01,504
South Africa (Rep Of),2024-08-01,1902
Other Markets In Africa,2024-08-01,4377
Others,2024-08-01,33
Total International Visitor Arrivals By Inbound Tourism Markets,2024-07-01,1602596
Southeast Asia,2024-07-01,475242
Brunei Darussalam,2024-07-01,4401
Indonesia,2024-07-01,209823
Malaysia,2024-07-01,83067
Myanmar,2024-07-01,12474
Philippines,2024-07-01,72589
Thailand,2024-07-01,32834
Vietnam,2024-07-01,50619
Other Markets In Southeast Asia,2024-07-01,9435
Greater China,2024-07-01,500094
China,2024-07-01,412950
Hong Kong SAR,2024-07-01,33769
Taiwan,2024-07-01,49930
Other Markets In Greater China,2024-07-01,3445
North Asia,2024-07-01,108672
Japan,2024-07-01,51162
South Korea,2024-07-01,57398
Other Markets In North Asia,2024-07-01,112
South Asia,2024-07-01,112631
Bangladesh,2024-07-01,12236
India,2024-07-01,89701
Pakistan,2024-07-01,2818
Sri Lanka,2024-07-01,4921
Other Markets In South Asia,2024-07-01,2955
West Asia,2024-07-01,23608
Iran,2024-07-01,404
Israel,2024-07-01,1321
Kuwait,2024-07-01,1242
Saudi Arabia,2024-07-01,4544
United Arab Emirates,2024-07-01,11518
Other Markets In West Asia,2024-07-01,4579
Americas,2024-07-01,82686
Canada,2024-07-01,10894
USA,2024-07-01,65204
Other Markets In Americas,2024-07-01,6588
Europe,2024-07-01,166397
Belgium & Luxembourg,2024-07-01,5327
Denmark,2024-07-01,3642
Finland,2024-07-01,1271
France,2024-07-01,21064
Germany,2024-07-01,21118
Italy,2024-07-01,7825
Netherlands,2024-07-01,12275
Norway,2024-07-01,3836
Rep Of Ireland,2024-07-01,2458
Russian Federation,2024-07-01,3774
Spain,2024-07-01,7998
Sweden,2024-07-01,2349
Switzerland,2024-07-01,10243
United Kingdom,2024-07-01,42232
Other Markets In Europe,2024-07-01,20985
Oceania,2024-07-01,126960
Australia,2024-07-01,105660
New Zealand,2024-07-01,18182
Other Markets In Oceania,2024-07-01,3118
Africa,2024-07-01,6115
Egypt,2024-07-01,202
Mauritius,2024-07-01,426
South Africa (Rep Of),2024-07-01,2177
Other Markets In Africa,2024-07-01,3310
Others,2024-07-01,191
Total International Visitor Arrivals By Inbound Tourism Markets,2024-06-01,1250293
Southeast Asia,2024-06-01,450962
Brunei Darussalam,2024-06-01,3711
Indonesia,2024-06-01,200085
Malaysia,2024-06-01,83558
Myanmar,2024-06-01,12154
Philippines,2024-06-01,76120
Thailand,2024-06-01,25459
Vietnam,2024-06-01,42327
