Region/Country,year_month,no_of_visitors
United Arab Emirates,1996-07-01,3246
Other Markets In West Asia,1996-07-01,na
Americas,1996-07-01,38675
Canada,1996-07-01,5535
USA,1996-07-01,31229
Other Markets In Americas,1996-07-01,na
Europe,1996-07-01,81726
Belgium & Luxembourg,1996-07-01,1999
Denmark,1996-07-01,2893
Finland,1996-07-01,867
France,1996-07-01,6956
Germany,1996-07-01,12833
Italy,1996-07-01,3723
Netherlands,1996-07-01,6749
Norway,1996-07-01,2316
Rep Of Ireland,1996-07-01,na
Russian Federation,1996-07-01,na
Spain,1996-07-01,1551
Sweden,1996-07-01,2592
Switzerland,1996-07-01,5086
United Kingdom,1996-07-01,24253
Other Markets In Europe,1996-07-01,na
Oceania,1996-07-01,41278
Australia,1996-07-01,33270
New Zealand,1996-07-01,7046
Other Markets In Oceania,1996-07-01,962
Africa,1996-07-01,6512
Egypt,1996-07-01,na
Mauritius,1996-07-01,na
South Africa (Rep Of),1996-07-01,na
Other Markets In Africa,1996-07-01,na
Others,1996-07-01,14
Total International Visitor Arrivals By Inbound Tourism Markets,1996-06-01,586963
Southeast Asia,1996-06-01,211415
Brunei Darussalam,1996-06-01,4543
Indonesia,1996-06-01,106646
Malaysia,1996-06-01,64730
Myanmar,1996-06-01,na
Philippines,1996-06-01,11724
Thailand,1996-06-01,18922
Vietnam,1996-06-01,1969
Other Markets In Southeast Asia,1996-06-01,na
Greater China,1996-06-01,na
China,1996-06-01,11006
Hong Kong SAR,1996-06-01,24476
Taiwan,1996-06-01,42114
Other Markets In Greater China,1996-06-01,na
North Asia,1996-06-01,na
Japan,1996-06-01,91658
South Korea,1996-06-01,22244
Other Markets In North Asia,1996-06-01,na
South Asia,1996-06-01,33300
Bangladesh,1996-06-01,3213
India,1996-06-01,20141
Pakistan,1996-06-01,4480
Sri Lanka,1996-06-01,3697
Other Markets In South Asia,1996-06-01,1769
West Asia,1996-06-01,4147
Iran,1996-06-01,744
Israel,1996-06-01,na
Kuwait,1996-06-01,292
Saudi Arabia,1996-06-01,706
United Arab Emirates,1996-06-01,1102
Other Markets In West Asia,1996-06-01,na
Americas,1996-06-01,38078
Canada,1996-06-01,4571
USA,1996-06-01,32088
Other Markets In Americas,1996-06-01,na
Europe,1996-06-01,65254
Belgium & Luxembourg,1996-06-01,1319
Denmark,1996-06-01,2055
Finland,1996-06-01,1018
France,1996-06-01,5188
Germany,1996-06-01,10746
Italy,1996-06-01,2730
Netherlands,1996-06-01,4760
Norway,1996-06-01,1765
Rep Of Ireland,1996-06-01,na
Russian Federation,1996-06-01,na
Spain,1996-06-01,972
Sweden,1996-06-01,2262
Switzerland,1996-06-01,3953
United Kingdom,1996-06-01,20122
Other Markets In Europe,1996-06-01,na
Oceania,1996-06-01,37040
Australia,1996-06-01,29769
New Zealand,1996-06-01,6303
Other Markets In Oceania,1996-06-01,968
Africa,1996-06-01,5407
Egypt,1996-06-01,na
Mauritius,1996-06-01,na
South Africa (Rep Of),1996-06-01,na
Other Markets In Africa,1996-06-01,na
Others,1996-06-01,10
Total International Visitor Arrivals By Inbound Tourism Markets,1996-05-01,551828
Southeast Asia,1996-05-01,181451
Brunei Darussalam,1996-05-01,5266
Indonesia,1996-05-01,72856
Malaysia,1996-05-01,60156
Myanmar,1996-05-01,na
Philippines,1996-05-01,14858
Thailand,1996-05-01,23901
Vietnam,1996-05-01,1681
Other Markets In Southeast Asia,1996-05-01,na
Greater China,1996-05-01,na
China,1996-05-01,26045
Hong Kong SAR,1996-05-01,18752
Taiwan,1996-05-01,40295
Other Markets In Greater China,1996-05-01,na
North Asia,1996-05-01,na
Japan,1996-05-01,78901
South Korea,1996-05-01,27975
Other Markets In North Asia,1996-05-01,na
South Asia,1996-05-01,33321
Bangladesh,1996-05-01,3064
India,1996-05-01,21722
Pakistan,1996-05-01,3381
Sri Lanka,1996-05-01,3700
Other Markets In South Asia,1996-05-01,1454
West Asia,1996-05-01,3285
Iran,1996-05-01,638
Israel,1996-05-01,na
Kuwait,1996-05-01,226
Saudi Arabia,1996-05-01,708
United Arab Emirates,1996-05-01,787
Other Markets In West Asia,1996-05-01,na
Americas,1996-05-01,34504
Canada,1996-05-01,4341
USA,1996-05-01,28492
Other Markets In Americas,1996-05-01,na
Europe,1996-05-01,68934
Belgium & Luxembourg,1996-05-01,1295
Denmark,1996-05-01,1625
Finland,1996-05-01,985
France,1996-05-01,5859
Germany,1996-05-01,13524
Italy,1996-05-01,2844
Netherlands,1996-05-01,4861
Norway,1996-05-01,1297
Rep Of Ireland,1996-05-01,na
Russian Federation,1996-05-01,na
Spain,1996-05-01,1073
Sweden,1996-05-01,1925
Switzerland,1996-05-01,4435
United Kingdom,1996-05-01,20758
Other Markets In Europe,1996-05-01,na
Oceania,1996-05-01,32102
Australia,1996-05-01,25775
New Zealand,1996-05-01,5325
Other Markets In Oceania,1996-05-01,1002
Africa,1996-05-01,5698
Egypt,1996-05-01,na
Mauritius,1996-05-01,na
South Africa (Rep Of),1996-05-01,na
Other Markets In Africa,1996-05-01,na
Others,1996-05-01,29
Total International Visitor Arrivals By Inbound Tourism Markets,1996-04-01,584109
Southeast Asia,1996-04-01,186460
Brunei Darussalam,1996-04-01,4063
Indonesia,1996-04-01,73102
Malaysia,1996-04-01,57477
Myanmar,1996-04-01,na
Philippines,1996-04-01,15889
Thailand,1996-04-01,31643
Vietnam,1996-04-01,1467
Other Markets In Southeast Asia,1996-04-01,na
Greater China,1996-04-01,na
China,1996-04-01,18288
Hong Kong SAR,1996-04-01,26255
Taiwan,1996-04-01,46446
Other Markets In Greater China,1996-04-01,na
North Asia,1996-04-01,na
Japan,1996-04-01,80078
South Korea,1996-04-01,26761
Other Markets In North Asia,1996-04-01,na
South Asia,1996-04-01,31747
Bangladesh,1996-04-01,3514
India,1996-04-01,17905
Pakistan,1996-04-01,3903
Sri Lanka,1996-04-01,4996
Other Markets In South Asia,1996-04-01,1429
West Asia,1996-04-01,4787
Iran,1996-04-01,684
Israel,1996-04-01,na
Kuwait,1996-04-01,383
Saudi Arabia,1996-04-01,1325
United Arab Emirates,1996-04-01,1260
Other Markets In West Asia,1996-04-01,na
Americas,1996-04-01,36410
Canada,1996-04-01,4828
USA,1996-04-01,30082
Other Markets In Americas,1996-04-01,na
Europe,1996-04-01,86351
Belgium & Luxembourg,1996-04-01,1712
Denmark,1996-04-01,2074
Finland,1996-04-01,1344
France,1996-04-01,7645
Germany,1996-04-01,17526
Italy,1996-04-01,2646
Netherlands,1996-04-01,5213
Norway,1996-04-01,1936
Rep Of Ireland,1996-04-01,na
Russian Federation,1996-04-01,na
Spain,1996-04-01,1075
Sweden,1996-04-01,3057
Switzerland,1996-04-01,5266
United Kingdom,1996-04-01,27421
Other Markets In Europe,1996-04-01,na
Oceania,1996-04-01,32236
Australia,1996-04-01,25767
New Zealand,1996-04-01,5551
Other Markets In Oceania,1996-04-01,918
Africa,1996-04-01,7386
Egypt,1996-04-01,na
Mauritius,1996-04-01,na
South Africa (Rep Of),1996-04-01,na
Other Markets In Africa,1996-04-01,na
Others,1996-04-01,25
Total International Visitor Arrivals By Inbound Tourism Markets,1996-03-01,641447
Southeast Asia,1996-03-01,176826
Brunei Darussalam,1996-03-01,4290
Indonesia,1996-03-01,75483
Malaysia,1996-03-01,55908
Myanmar,1996-03-01,na
Philippines,1996-03-01,13487
Thailand,1996-03-01,23085
Vietnam,1996-03-01,1605
Other Markets In Southeast Asia,1996-03-01,na
Greater China,1996-03-01,na
China,1996-03-01,20888
Hong Kong SAR,1996-03-01,21981
Taiwan,1996-03-01,42580
Other Markets In Greater China,1996-03-01,na
North Asia,1996-03-01,na
Japan,1996-03-01,122188
South Korea,1996-03-01,42380
Other Markets In North Asia,1996-03-01,na
South Asia,1996-03-01,29057
Bangladesh,1996-03-01,3684
India,1996-03-01,15635
Pakistan,1996-03-01,4249
Sri Lanka,1996-03-01,4034
Other Markets In South Asia,1996-03-01,1455
West Asia,1996-03-01,5080
Iran,1996-03-01,1687
Israel,1996-03-01,na
Kuwait,1996-03-01,281
Saudi Arabia,1996-03-01,832
United Arab Emirates,1996-03-01,1081
Other Markets In West Asia,1996-03-01,na
Americas,1996-03-01,43187
Canada,1996-03-01,6922
USA,1996-03-01,34876
Other Markets In Americas,1996-03-01,na
Europe,1996-03-01,94743
Belgium & Luxembourg,1996-03-01,1734
Denmark,1996-03-01,2649
Finland,1996-03-01,1439
France,1996-03-01,7025
Germany,1996-03-01,21450
Italy,1996-03-01,3324
Netherlands,1996-03-01,5662
Norway,1996-03-01,2417
Rep Of Ireland,1996-03-01,na
Russian Federation,1996-03-01,na
Spain,1996-03-01,1111
Sweden,1996-03-01,3927
Switzerland,1996-03-01,5195
United Kingdom,1996-03-01,29122
Other Markets In Europe,1996-03-01,na
Oceania,1996-03-01,34820
Australia,1996-03-01,28934
New Zealand,1996-03-01,4881
Other Markets In Oceania,1996-03-01,1005
Africa,1996-03-01,6954
Egypt,1996-03-01,na
Mauritius,1996-03-01,na
South Africa (Rep Of),1996-03-01,na
Other Markets In Africa,1996-03-01,na
Others,1996-03-01,23
Total International Visitor Arrivals By Inbound Tourism Markets,1996-02-01,595491
Southeast Asia,1996-02-01,191403
Brunei Darussalam,1996-02-01,5207
Indonesia,1996-02-01,98406
Malaysia,1996-02-01,57795
Myanmar,1996-02-01,na
Philippines,1996-02-01,10397
Thailand,1996-02-01,15892
Vietnam,1996-02-01,1345
Other Markets In Southeast Asia,1996-02-01,na
Greater China,1996-02-01,na
China,1996-02-01,18351
Hong Kong SAR,1996-02-01,32198
Taiwan,1996-02-01,55018
Other Markets In Greater China,1996-02-01,na
North Asia,1996-02-01,na
Japan,1996-02-01,84686
South Korea,1996-02-01,32462
Other Markets In North Asia,1996-02-01,na
South Asia,1996-02-01,22587
Bangladesh,1996-02-01,2860
India,1996-02-01,12537
Pakistan,1996-02-01,2799
Sri Lanka,1996-02-01,3003
Other Markets In South Asia,1996-02-01,1388
West Asia,1996-02-01,3769
Iran,1996-02-01,592
Israel,1996-02-01,na
Kuwait,1996-02-01,471
Saudi Arabia,1996-02-01,825
United Arab Emirates,1996-02-01,693
Other Markets In West Asia,1996-02-01,na
Americas,1996-02-01,38434
Canada,1996-02-01,6215
USA,1996-02-01,30853
Other Markets In Americas,1996-02-01,na
Europe,1996-02-01,84863
Belgium & Luxembourg,1996-02-01,1513
Denmark,1996-02-01,2229
Finland,1996-02-01,1407
France,1996-02-01,7467
Germany,1996-02-01,17082
Italy,1996-02-01,3041
Netherlands,1996-02-01,5019
Norway,1996-02-01,2147
Rep Of Ireland,1996-02-01,na
Russian Federation,1996-02-01,na
Spain,1996-02-01,863
Sweden,1996-02-01,3638
Switzerland,1996-02-01,4789
United Kingdom,1996-02-01,25563
Other Markets In Europe,1996-02-01,na
Oceania,1996-02-01,25929
Australia,1996-02-01,21396
New Zealand,1996-02-01,3645
Other Markets In Oceania,1996-02-01,888
Africa,1996-02-01,4445
Egypt,1996-02-01,na
Mauritius,1996-02-01,na
South Africa (Rep Of),1996-02-01,na
Other Markets In Africa,1996-02-01,na
Others,1996-02-01,40
Total International Visitor Arrivals By Inbound Tourism Markets,1996-01-01,599742
Southeast Asia,1996-01-01,159993
Brunei Darussalam,1996-01-01,4600
Indonesia,1996-01-01,75854
Malaysia,1996-01-01,47953
Myanmar,1996-01-01,na
Philippines,1996-01-01,10594
Thailand,1996-01-01,16996
Vietnam,1996-01-01,1536
Other Markets In Southeast Asia,1996-01-01,na
Greater China,1996-01-01,na
China,1996-01-01,19510
Hong Kong SAR,1996-01-01,15868
Taiwan,1996-01-01,36473
Other Markets In Greater China,1996-01-01,na
North Asia,1996-01-01,na
Japan,1996-01-01,105750
South Korea,1996-01-01,57136
Other Markets In North Asia,1996-01-01,na
South Asia,1996-01-01,27820
Bangladesh,1996-01-01,3685
India,1996-01-01,14707
Pakistan,1996-01-01,4171
Sri Lanka,1996-01-01,3638
Other Markets In South Asia,1996-01-01,1619
West Asia,1996-01-01,3925
Iran,1996-01-01,785
Israel,1996-01-01,na
Kuwait,1996-01-01,150
Saudi Arabia,1996-01-01,852
United Arab Emirates,1996-01-01,879
Other Markets In West Asia,1996-01-01,na
Americas,1996-01-01,41596
Canada,1996-01-01,6300
USA,1996-01-01,33675
Other Markets In Americas,1996-01-01,na
Europe,1996-01-01,83409
Belgium & Luxembourg,1996-01-01,1375
Denmark,1996-01-01,2221
Finland,1996-01-01,1361
France,1996-01-01,4986
Germany,1996-01-01,16463
Italy,1996-01-01,3862
Netherlands,1996-01-01,5276
Norway,1996-01-01,1844
Rep Of Ireland,1996-01-01,na
Russian Federation,1996-01-01,na
Spain,1996-01-01,946
Sweden,1996-01-01,4341
Switzerland,1996-01-01,4755
United Kingdom,1996-01-01,24826
Other Markets In Europe,1996-01-01,na
Oceania,1996-01-01,39391
Australia,1996-01-01,33004
New Zealand,1996-01-01,5216
Other Markets In Oceania,1996-01-01,1171
Africa,1996-01-01,8365
Egypt,1996-01-01,na
Mauritius,1996-01-01,na
South Africa (Rep Of),1996-01-01,na
Other Markets In Africa,1996-01-01,na
Others,1996-01-01,27
Total International Visitor Arrivals By Inbound Tourism Markets,1995-12-01,625206
Southeast Asia,1995-12-01,219531
Brunei Darussalam,1995-12-01,na
Indonesia,1995-12-01,na
Malaysia,1995-12-01,na
Myanmar,1995-12-01,na
Philippines,1995-12-01,na
Thailand,1995-12-01,na
Vietnam,1995-12-01,1669
Other Markets In Southeast Asia,1995-12-01,na
Greater China,1995-12-01,na
China,1995-12-01,21046
Hong Kong SAR,1995-12-01,24726
Taiwan,1995-12-01,35991
Other Markets In Greater China,1995-12-01,na
North Asia,1995-12-01,na
Japan,1995-12-01,97791
South Korea,1995-12-01,33834
Other Markets In North Asia,1995-12-01,na
South Asia,1995-12-01,32200
Bangladesh,1995-12-01,4252
India,1995-12-01,16662
Pakistan,1995-12-01,4219
Sri Lanka,1995-12-01,5366
Other Markets In South Asia,1995-12-01,1701
West Asia,1995-12-01,4553
Iran,1995-12-01,727
Israel,1995-12-01,na
Kuwait,1995-12-01,267
Saudi Arabia,1995-12-01,1220
United Arab Emirates,1995-12-01,1101
Other Markets In West Asia,1995-12-01,na
Americas,1995-12-01,36460
Canada,1995-12-01,5905
USA,1995-12-01,29580
Other Markets In Americas,1995-12-01,na
Europe,1995-12-01,73058
Belgium & Luxembourg,1995-12-01,1324
Denmark,1995-12-01,1947
Finland,1995-12-01,1223
France,1995-12-01,5189
Germany,1995-12-01,12860
Italy,1995-12-01,3087
Netherlands,1995-12-01,4961
Norway,1995-12-01,1596
Rep Of Ireland,1995-12-01,na
Russian Federation,1995-12-01,na
Spain,1995-12-01,974
Sweden,1995-12-01,3618
Switzerland,1995-12-01,4419
United Kingdom,1995-12-01,22325
Other Markets In Europe,1995-12-01,na
Oceania,1995-12-01,35030
Australia,1995-12-01,28681
New Zealand,1995-12-01,5225
Other Markets In Oceania,1995-12-01,1124
Africa,1995-12-01,9880
Egypt,1995-12-01,na
Mauritius,1995-12-01,na
South Africa (Rep Of),1995-12-01,na
Other Markets In Africa,1995-12-01,na
Others,1995-12-01,45
Total International Visitor Arrivals By Inbound Tourism Markets,1995-11-01,589339
Southeast Asia,1995-11-01,185071
Brunei Darussalam,1995-11-01,na
Indonesia,1995-11-01,na
Malaysia,1995-11-01,na
Myanmar,1995-11-01,na
Philippines,1995-11-01,na
Thailand,1995-11-01,na
Vietnam,1995-11-01,1658
Other Markets In Southeast Asia,1995-11-01,na
Greater China,1995-11-01,na
China,1995-11-01,19924
Hong Kong SAR,1995-11-01,19353
Taiwan,1995-11-01,32443
Other Markets In Greater China,1995-11-01,na
North Asia,1995-11-01,na
Japan,1995-11-01,103551
South Korea,1995-11-01,27753
Other Markets In North Asia,1995-11-01,na
South Asia,1995-11-01,29815
Bangladesh,1995-11-01,3989
India,1995-11-01,14733
Pakistan,1995-11-01,5380
Sri Lanka,1995-11-01,4078
Other Markets In South Asia,1995-11-01,1635
West Asia,1995-11-01,3736
Iran,1995-11-01,641
Israel,1995-11-01,na
Kuwait,1995-11-01,226
Saudi Arabia,1995-11-01,837
United Arab Emirates,1995-11-01,958
Other Markets In West Asia,1995-11-01,na
Americas,1995-11-01,36590
Canada,1995-11-01,5572
USA,1995-11-01,29697
Other Markets In Americas,1995-11-01,na
Europe,1995-11-01,88167
Belgium & Luxembourg,1995-11-01,1625
Denmark,1995-11-01,2178
Finland,1995-11-01,1709
France,1995-11-01,5697
Germany,1995-11-01,18290
Italy,1995-11-01,3284
Netherlands,1995-11-01,5907
Norway,1995-11-01,1824
Rep Of Ireland,1995-11-01,na
Russian Federation,1995-11-01,na
Spain,1995-11-01,1228
Sweden,1995-11-01,3986
Switzerland,1995-11-01,5646
United Kingdom,1995-11-01,26406
Other Markets In Europe,1995-11-01,na
Oceania,1995-11-01,34965
Australia,1995-11-01,29211
New Zealand,1995-11-01,4598
Other Markets In Oceania,1995-11-01,1156
Africa,1995-11-01,7199
Egypt,1995-11-01,na
Mauritius,1995-11-01,na
South Africa (Rep Of),1995-11-01,na
Other Markets In Africa,1995-11-01,na
Others,1995-11-01,22
Total International Visitor Arrivals By Inbound Tourism Markets,1995-10-01,588420
Southeast Asia,1995-10-01,186306
Brunei Darussalam,1995-10-01,na
Indonesia,1995-10-01,na
Malaysia,1995-10-01,na
Myanmar,1995-10-01,na
Philippines,1995-10-01,na
Thailand,1995-10-01,na
Vietnam,1995-10-01,1731
Other Markets In Southeast Asia,1995-10-01,na
Greater China,1995-10-01,na
China,1995-10-01,17825
Hong Kong SAR,1995-10-01,18301
Taiwan,1995-10-01,40464
Other Markets In Greater China,1995-10-01,na
North Asia,1995-10-01,na
Japan,1995-10-01,87540
South Korea,1995-10-01,23076
Other Markets In North Asia,1995-10-01,na
South Asia,1995-10-01,31614
Bangladesh,1995-10-01,4475
India,1995-10-01,16989
Pakistan,1995-10-01,4778
Sri Lanka,1995-10-01,3699
Other Markets In South Asia,1995-10-01,1673
West Asia,1995-10-01,4604
Iran,1995-10-01,802
Israel,1995-10-01,na
Kuwait,1995-10-01,262
Saudi Arabia,1995-10-01,845
United Arab Emirates,1995-10-01,1000
Other Markets In West Asia,1995-10-01,na
Americas,1995-10-01,39918
Canada,1995-10-01,4974
USA,1995-10-01,33019
Other Markets In Americas,1995-10-01,na
Europe,1995-10-01,91097
Belgium & Luxembourg,1995-10-01,2002
Denmark,1995-10-01,2003
Finland,1995-10-01,1180
France,1995-10-01,6928
Germany,1995-10-01,19090
Italy,1995-10-01,3727
Netherlands,1995-10-01,6779
Norway,1995-10-01,1917
Rep Of Ireland,1995-10-01,na
Russian Federation,1995-10-01,na
Spain,1995-10-01,1379
Sweden,1995-10-01,3049
Switzerland,1995-10-01,5531
United Kingdom,1995-10-01,27956
Other Markets In Europe,1995-10-01,na
Oceania,1995-10-01,39961
Australia,1995-10-01,33453
New Zealand,1995-10-01,5428
Other Markets In Oceania,1995-10-01,1080
Africa,1995-10-01,7153
Egypt,1995-10-01,na
Mauritius,1995-10-01,na
South Africa (Rep Of),1995-10-01,na
Other Markets In Africa,1995-10-01,na
Others,1995-10-01,32
Total International Visitor Arrivals By Inbound Tourism Markets,1995-09-01,583492
Southeast Asia,1995-09-01,170358
Brunei Darussalam,1995-09-01,na
Indonesia,1995-09-01,na
Malaysia,1995-09-01,na
Myanmar,1995-09-01,na
Philippines,1995-09-01,na
Thailand,1995-09-01,na
Vietnam,1995-09-01,1640
Other Markets In Southeast Asia,1995-09-01,na
Greater China,1995-09-01,na
China,1995-09-01,15175
Hong Kong SAR,1995-09-01,18148
Taiwan,1995-09-01,45343
Other Markets In Greater China,1995-09-01,na
North Asia,1995-09-01,na
Japan,1995-09-01,111098
South Korea,1995-09-01,19773
Other Markets In North Asia,1995-09-01,na
South Asia,1995-09-01,31302
Bangladesh,1995-09-01,4224
India,1995-09-01,16753
Pakistan,1995-09-01,4467
Sri Lanka,1995-09-01,3767
Other Markets In South Asia,1995-09-01,2091
West Asia,1995-09-01,6414
Iran,1995-09-01,940
Israel,1995-09-01,na
Kuwait,1995-09-01,307
Saudi Arabia,1995-09-01,2108
United Arab Emirates,1995-09-01,1245
Other Markets In West Asia,1995-09-01,na
Americas,1995-09-01,32159
Canada,1995-09-01,3770
USA,1995-09-01,26413
Other Markets In Americas,1995-09-01,na
Europe,1995-09-01,82938
Belgium & Luxembourg,1995-09-01,1695
Denmark,1995-09-01,1910
Finland,1995-09-01,998
France,1995-09-01,5623
Germany,1995-09-01,17604
Italy,1995-09-01,4284
Netherlands,1995-09-01,6941
Norway,1995-09-01,1622
Rep Of Ireland,1995-09-01,na
Russian Federation,1995-09-01,na
Spain,1995-09-01,1545
Sweden,1995-09-01,2186
Switzerland,1995-09-01,4424
United Kingdom,1995-09-01,24756
Other Markets In Europe,1995-09-01,na
Oceania,1995-09-01,43040
Australia,1995-09-01,34508
New Zealand,1995-09-01,7381
Other Markets In Oceania,1995-09-01,1151
Africa,1995-09-01,7163
Egypt,1995-09-01,na
Mauritius,1995-09-01,na
South Africa (Rep Of),1995-09-01,na
Other Markets In Africa,1995-09-01,na
Others,1995-09-01,31
Total International Visitor Arrivals By Inbound Tourism Markets,1995-08-01,688445
Southeast Asia,1995-08-01,182918
Brunei Darussalam,1995-08-01,na
Indonesia,1995-08-01,na
Malaysia,1995-08-01,na
Myanmar,1995-08-01,na
Philippines,1995-08-01,na
Thailand,1995-08-01,na
Vietnam,1995-08-01,1801
Other Markets In Southeast Asia,1995-08-01,na
Greater China,1995-08-01,na
China,1995-08-01,16538
Hong Kong SAR,1995-08-01,37377
Taiwan,1995-08-01,69253
Other Markets In Greater China,1995-08-01,na
North Asia,1995-08-01,na
Japan,1995-08-01,133274
South Korea,1995-08-01,39068
Other Markets In North Asia,1995-08-01,na
South Asia,1995-08-01,31023
Bangladesh,1995-08-01,4325
India,1995-08-01,15031
Pakistan,1995-08-01,4881
Sri Lanka,1995-08-01,4813
Other Markets In South Asia,1995-08-01,1973
West Asia,1995-08-01,10898
Iran,1995-08-01,889
Israel,1995-08-01,na
Kuwait,1995-08-01,514
Saudi Arabia,1995-08-01,4520
United Arab Emirates,1995-08-01,2775
Other Markets In West Asia,1995-08-01,na
Americas,1995-08-01,33620
Canada,1995-08-01,5161
USA,1995-08-01,26901
Other Markets In Americas,1995-08-01,na
Europe,1995-08-01,90957
Belgium & Luxembourg,1995-08-01,1925
Denmark,1995-08-01,2015
Finland,1995-08-01,788
France,1995-08-01,8539
Germany,1995-08-01,14663
Italy,1995-08-01,8262
Netherlands,1995-08-01,6889
Norway,1995-08-01,1539
Rep Of Ireland,1995-08-01,na
Russian Federation,1995-08-01,na
Spain,1995-08-01,1955
Sweden,1995-08-01,1747
Switzerland,1995-08-01,3907
United Kingdom,1995-08-01,27889
Other Markets In Europe,1995-08-01,na
Oceania,1995-08-01,35443
Australia,1995-08-01,27811
New Zealand,1995-08-01,6666
Other Markets In Oceania,1995-08-01,966
Africa,1995-08-01,6973
Egypt,1995-08-01,na
Mauritius,1995-08-01,na
South Africa (Rep Of),1995-08-01,na
Other Markets In Africa,1995-08-01,na
Others,1995-08-01,36
Total International Visitor Arrivals By Inbound Tourism Markets,1995-07-01,676075
Southeast Asia,1995-07-01,205774
Brunei Darussalam,1995-07-01,na
Indonesia,1995-07-01,na
Malaysia,1995-07-01,na
Myanmar,1995-07-01,na
Philippines,1995-07-01,na
Thailand,1995-07-01,na
Vietnam,1995-07-01,1609
Other Markets In Southeast Asia,1995-07-01,na
Greater China,1995-07-01,na
China,1995-07-01,16714
Hong Kong SAR,1995-07-01,29689
Taiwan,1995-07-01,73752
Other Markets In Greater China,1995-07-01,na
North Asia,1995-07-01,na
Japan,1995-07-01,108994
South Korea,1995-07-01,29491
Other Markets In North Asia,1995-07-01,na
South Asia,1995-07-01,33190
Bangladesh,1995-07-01,4510
India,1995-07-01,16218
Pakistan,1995-07-01,6371
Sri Lanka,1995-07-01,3943
Other Markets In South Asia,1995-07-01,2148
West Asia,1995-07-01,8628
Iran,1995-07-01,806
Israel,1995-07-01,na
Kuwait,1995-07-01,425
Saudi Arabia,1995-07-01,2631
United Arab Emirates,1995-07-01,2610
Other Markets In West Asia,1995-07-01,na
Americas,1995-07-01,37385
Canada,1995-07-01,5385
USA,1995-07-01,29992
Other Markets In Americas,1995-07-01,na
Europe,1995-07-01,83508
Belgium & Luxembourg,1995-07-01,2307
Denmark,1995-07-01,2833
Finland,1995-07-01,905
France,1995-07-01,7183
Germany,1995-07-01,14534
Italy,1995-07-01,4886
Netherlands,1995-07-01,8024
Norway,1995-07-01,2093
Rep Of Ireland,1995-07-01,na
Russian Federation,1995-07-01,na
Spain,1995-07-01,1678
Sweden,1995-07-01,2288
Switzerland,1995-07-01,4956
United Kingdom,1995-07-01,23153
Other Markets In Europe,1995-07-01,na
Oceania,1995-07-01,41156
Australia,1995-07-01,33448
New Zealand,1995-07-01,6447
Other Markets In Oceania,1995-07-01,1261
Africa,1995-07-01,7087
Egypt,1995-07-01,na
Mauritius,1995-07-01,na
South Africa (Rep Of),1995-07-01,na
Other Markets In Africa,1995-07-01,na
Others,1995-07-01,24
Total International Visitor Arrivals By Inbound Tourism Markets,1995-06-01,549326
Southeast Asia,1995-06-01,189571
Brunei Darussalam,1995-06-01,na
Indonesia,1995-06-01,na
Malaysia,1995-06-01,na
Myanmar,1995-06-01,na
Philippines,1995-06-01,na
Thailand,1995-06-01,na
Vietnam,1995-06-01,1579
Other Markets In Southeast Asia,1995-06-01,na
Greater China,1995-06-01,na
China,1995-06-01,15444
Hong Kong SAR,1995-06-01,20316
Taiwan,1995-06-01,44205
Other Markets In Greater China,1995-06-01,na
North Asia,1995-06-01,na
Japan,1995-06-01,93032
South Korea,1995-06-01,16830
Other Markets In North Asia,1995-06-01,na
South Asia,1995-06-01,30633
Bangladesh,1995-06-01,3415
India,1995-06-01,17585
Pakistan,1995-06-01,4313
Sri Lanka,1995-06-01,3493
Other Markets In South Asia,1995-06-01,1827
West Asia,1995-06-01,4371
Iran,1995-06-01,674
Israel,1995-06-01,na
Kuwait,1995-06-01,330
Saudi Arabia,1995-06-01,881
United Arab Emirates,1995-06-01,1281
Other Markets In West Asia,1995-06-01,na
Americas,1995-06-01,35002
Canada,1995-06-01,4167
USA,1995-06-01,29147
Other Markets In Americas,1995-06-01,na
Europe,1995-06-01,60167
Belgium & Luxembourg,1995-06-01,1167
Denmark,1995-06-01,1909
Finland,1995-06-01,784
France,1995-06-01,4732
Germany,1995-06-01,11500
Italy,1995-06-01,2919
Netherlands,1995-06-01,4983
Norway,1995-06-01,1546
Rep Of Ireland,1995-06-01,na
Russian Federation,1995-06-01,na
Spain,1995-06-01,1178
Sweden,1995-06-01,2010
Switzerland,1995-06-01,2812
United Kingdom,1995-06-01,17860
Other Markets In Europe,1995-06-01,na
Oceania,1995-06-01,33674
Australia,1995-06-01,27060
New Zealand,1995-06-01,5552
Other Markets In Oceania,1995-06-01,1062
Africa,1995-06-01,5622
Egypt,1995-06-01,na
Mauritius,1995-06-01,na
South Africa (Rep Of),1995-06-01,na
Other Markets In Africa,1995-06-01,na
Others,1995-06-01,27
Total International Visitor Arrivals By Inbound Tourism Markets,1995-05-01,535270
Southeast Asia,1995-05-01,183787
Brunei Darussalam,1995-05-01,na
Indonesia,1995-05-01,na
Malaysia,1995-05-01,na
Myanmar,1995-05-01,na
Philippines,1995-05-01,na
Thailand,1995-05-01,na
Vietnam,1995-05-01,1467
Other Markets In Southeast Asia,1995-05-01,na
Greater China,1995-05-01,na
China,1995-05-01,18504
Hong Kong SAR,1995-05-01,17561
Taiwan,1995-05-01,34425
Other Markets In Greater China,1995-05-01,na
North Asia,1995-05-01,na
Japan,1995-05-01,83667
