Park,Date/Time,Wait Time
Universal Studios Singapore,2024-09-02 13:10:00,26
Universal Studios Singapore,2024-09-02 13:15:00,23
Universal Studios Singapore,2024-09-02 13:20:00,23
Universal Studios Singapore,2024-09-02 13:25:00,22
Universal Studios Singapore,2024-09-02 13:30:00,21
Universal Studios Singapore,2024-09-02 13:35:00,23
Universal Studios Singapore,2024-09-02 13:40:00,26
Universal Studios Singapore,2024-09-02 13:45:00,26
Universal Studios Singapore,2024-09-02 13:50:00,25
Universal Studios Singapore,2024-09-02 13:55:00,28
Universal Studios Singapore,2024-09-02 14:00:00,28
Universal Studios Singapore,2024-09-02 14:05:00,28
Universal Studios Singapore,2024-09-02 14:10:00,29
Universal Studios Singapore,2024-09-02 14:15:00,29
Universal Studios Singapore,2024-09-02 14:20:00,29
Universal Studios Singapore,2024-09-02 14:25:00,28
Universal Studios Singapore,2024-09-02 14:30:00,29
Universal Studios Singapore,2024-09-02 14:35:00,29
Universal Studios Singapore,2024-09-02 14:40:00,28
Universal Studios Singapore,2024-09-02 14:45:00,28
Universal Studios Singapore,2024-09-02 14:50:00,29
Universal Studios Singapore,2024-09-02 14:55:00,27
Universal Studios Singapore,2024-09-02 15:00:00,24
Universal Studios Singapore,2024-09-02 15:05:00,24
Universal Studios Singapore,2024-09-02 15:10:00,20
Universal Studios Singapore,2024-09-02 15:15:00,22
Universal Studios Singapore,2024-09-02 15:20:00,22
Universal Studios Singapore,2024-09-02 15:25:00,21
Universal Studios Singapore,2024-09-02 15:30:00,22
Universal Studios Singapore,2024-09-02 15:35:00,22
Universal Studios Singapore,2024-09-02 15:40:00,22
Universal Studios Singapore,2024-09-02 15:45:00,22
Universal Studios Singapore,2024-09-02 15:50:00,23
Universal Studios Singapore,2024-09-02 15:55:00,25
Universal Studios Singapore,2024-09-02 16:05:00,23
Universal Studios Singapore,2024-09-02 16:15:00,21
Universal Studios Singapore,2024-09-02 16:20:00,22
Universal Studios Singapore,2024-09-02 16:25:00,23
Universal Studios Singapore,2024-09-02 16:30:00,23
Universal Studios Singapore,2024-09-02 16:35:00,21
Universal Studios Singapore,2024-09-02 16:40:00,19
Universal Studios Singapore,2024-09-02 16:45:00,19
Universal Studios Singapore,2024-09-02 16:50:00,19
Universal Studios Singapore,2024-09-02 17:15:00,15
Universal Studios Singapore,2024-09-02 17:20:00,15
Universal Studios Singapore,2024-09-02 17:25:00,18
Universal Studios Singapore,2024-09-02 17:35:00,17
Universal Studios Singapore,2024-09-02 17:40:00,17
Universal Studios Singapore,2024-09-02 17:45:00,15
Universal Studios Singapore,2024-09-02 17:50:00,13
Universal Studios Singapore,2024-09-02 17:55:00,12
Universal Studios Singapore,2024-09-03 10:05:00,7
Universal Studios Singapore,2024-09-03 10:10:00,8
Universal Studios Singapore,2024-09-03 10:15:00,9
Universal Studios Singapore,2024-09-03 10:20:00,9
Universal Studios Singapore,2024-09-03 10:25:00,11
Universal Studios Singapore,2024-09-03 10:30:00,12
Universal Studios Singapore,2024-09-03 10:45:00,17
Universal Studios Singapore,2024-09-03 10:50:00,18
Universal Studios Singapore,2024-09-03 10:55:00,21
Universal Studios Singapore,2024-09-03 11:00:00,23
Universal Studios Singapore,2024-09-03 11:05:00,23
Universal Studios Singapore,2024-09-03 11:10:00,30
Universal Studios Singapore,2024-09-03 11:15:00,31
Universal Studios Singapore,2024-09-03 11:20:00,32
Universal Studios Singapore,2024-09-03 11:25:00,32
Universal Studios Singapore,2024-09-03 11:30:00,31
Universal Studios Singapore,2024-09-03 11:35:00,31
Universal Studios Singapore,2024-09-03 11:40:00,30
Universal Studios Singapore,2024-09-03 11:45:00,31
Universal Studios Singapore,2024-09-03 11:50:00,32
Universal Studios Singapore,2024-09-03 11:55:00,32
Universal Studios Singapore,2024-09-03 12:00:00,29
Universal Studios Singapore,2024-09-03 12:05:00,26
Universal Studios Singapore,2024-09-03 12:10:00,27
Universal Studios Singapore,2024-09-03 12:15:00,27
Universal Studios Singapore,2024-09-03 12:20:00,23
Universal Studios Singapore,2024-09-03 12:25:00,24
Universal Studios Singapore,2024-09-03 12:30:00,24
Universal Studios Singapore,2024-09-03 12:35:00,25
Universal Studios Singapore,2024-09-03 12:40:00,22
Universal Studios Singapore,2024-09-03 12:45:00,22
Universal Studios Singapore,2024-09-03 12:50:00,22
Universal Studios Singapore,2024-09-03 12:55:00,20
Universal Studios Singapore,2024-09-03 13:00:00,22
Universal Studios Singapore,2024-09-03 13:05:00,22
Universal Studios Singapore,2024-09-03 13:10:00,22
Universal Studios Singapore,2024-09-03 13:15:00,27
Universal Studios Singapore,2024-09-03 13:20:00,27
Universal Studios Singapore,2024-09-03 13:25:00,27
Universal Studios Singapore,2024-09-03 13:30:00,27
Universal Studios Singapore,2024-09-03 13:35:00,27
Universal Studios Singapore,2024-09-03 13:40:00,27
Universal Studios Singapore,2024-09-03 13:45:00,28
Universal Studios Singapore,2024-09-03 13:55:00,29
Universal Studios Singapore,2024-09-03 14:00:00,29
Universal Studios Singapore,2024-09-03 14:05:00,29
Universal Studios Singapore,2024-09-03 14:10:00,25
