date,actual_date,forecast_day,temp_low,temp_high,humidity_low,humidity_high,forecast_summary,forecast_text,wind_speed_low,wind_speed_high,wind_direction,north_avg_daily_psi,south_avg_daily_psi,east_avg_daily_psi,west_avg_daily_psi,central_avg_daily_psi,average_nationwide_psi,highest_region_reading,psi_level_rating,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),avg_daily_relative_humidity,windspeed
5/11/2018,Monday,Tuesday,24,33,65,95,Afternoon thundery showers.,Thundery Showers,10,20,N,45.25,42.58,48.83,35.25,50.67,44.52,central_avg_daily_psi,Good,0,0,0,0,27.8,30.7,26,4.3,19.1,80.96,2.25
6/11/2018,Tuesday,Wednesday,24,33,60,90,Afternoon thundery showers.,Thundery Showers,10,20,WNW,44.33,54.08,53.08,40.5,51.92,48.78,south_avg_daily_psi,Good,0.2,0.2,0.2,0.2,27.9,32.6,25.5,5.8,27.7,76.13,1.31
7/11/2018,Wednesday,Thursday,24,32,60,95,Morning showers.,Showers,10,25,W,40.17,43.67,48,22.75,37.67,38.45,east_avg_daily_psi,Good,24.4,13.6,15.8,24.4,28.1,31.4,23.9,5.8,26.6,75.85,3.49
8/11/2018,Thursday,Friday,24,33,60,95,Late morning and early afternoon thundery showers,Thundery Showers,5,15,WNW,34.92,45.83,38,25.42,33.92,35.62,south_avg_daily_psi,Good,20.6,10.8,14.6,17.4,28.6,33.6,24.2,5.8,26.6,78.97,2.11
9/11/2018,Friday,Saturday,24,33,60,95,Afternoon thundery showers,Thundery Showers,5,15,VARIABLE,39.75,46.58,45.83,28.5,54.42,43.02,central_avg_daily_psi,Good,2.2,1,1.2,1.4,27.1,28.5,25.1,3.6,30.6,83.62,1.61
10/11/2018,Saturday,Sunday,24,33,55,95,Afternoon and evening thundery showers.,Thundery Showers,10,20,NNE,58.08,64.33,59.25,61.92,61.67,61.05,south_avg_daily_psi,Moderate,0.6,0.4,4.2,10.4,28.7,29.9,22.8,4.8,40.3,86.26,0
11/11/2018,Sunday,Monday,24,33,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NW,53.25,60.08,61.33,52.67,54.83,56.43,east_avg_daily_psi,Moderate,0.4,19.8,6,42.6,29.5,32.9,27.1,7,27.4,0,0
12/11/2018,Monday,Tuesday,24,32,60,90,Early hours and predawn hours thundery showers and again in the afternoon.,Thundery Showers,10,25,WNW,39,41.83,48.33,26.33,45.67,40.23,east_avg_daily_psi,Good,3,3,3,3,0,0,0,5,16.6,95.59,1.28
13/11/2018,Tuesday,Wednesday,24,32,65,95,Morning thundery showers.,Thundery Showers,10,20,W,42.67,52.17,47.67,22.58,48.75,42.77,south_avg_daily_psi,Good,2.8,1,1.4,1.8,0,30.2,25.1,4,19.8,89.03,0.69
14/11/2018,Wednesday,Thursday,24,31,65,95,Morning thundery showers.,Thundery Showers,10,20,SSE,41.5,46.5,54.83,27.58,37,41.48,east_avg_daily_psi,Good,20.4,7.6,10.8,14.8,27.5,30.6,24.6,5,25.9,77.84,3.4
