date,timestamp,station_id,station_name,rainfall
1/12/2023,2023-12-01T22:15:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T22:20:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T22:25:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T22:30:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T22:35:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T22:40:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T22:45:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T22:50:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T22:55:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T23:00:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T23:05:00+08:00,S60,Sentosa,0
